y
290
405
530
710
890
1100
1300
1500
1780
2030
2270
2500
2800
3050
3200
3450
3850
4100
4350
4600
4850
5100
5300
5550
5700
5950
6100
6200
6300
6300
6300
6200
6200
6400
7200
7000
7350
7700
7950
8000
8100
8200
8200
8200
8200
8100
8060
8000
8000
7950
7850
7750
7650
7550
7450
7300
7150
7050
6900
6750
6650
6500
6400
6250
6100
5900
5750
5550
5400
5250
5100
4950
